IGSN,Sample Name,Sample Type,Material,Classification,Field Name,Description,Age Min,Age Max,Age Unit,collection Method,Collection Method Descr,Size,Size Unit,Geological Age,Geological Unit,Comment,Purpose,Release Date,Latitude,Latitude End,Longitude,Longitude End,Elevation,Elevation End,Elevation Unit,Depth Min,Depth Max,Depth Scale,Nav Type Name,Physiographic Feature,Name of Physiographic Feature,Biome,Location Description,Locality,Locality Description,Country,State/Province,City,Field Program/Cruise,Platform Type,Platform Name,Platform Description,Launch Type Name,Launch Platform Name,Launch Id,Collector/Chief Scientist,Collector/Chief Scientist Detail,Collection date,collection End Date,collection Start Time,collection End Time,Collection date precision,Current Archive,Current Archive Contact,Original Archive,Original Archive Contact,Cur Registrant Name,Org Registrant Name,classification Comment,Is Archived,URL
IEEXG00B2,EC1_K025_TRANSITION_JAR,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,38.8873,NA,-76.5621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,Transition zone between wetland and upland,Muddy Creek,Chesapeake Bay,United States,MD,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Erika Koontz,NA,10/4/2021,10/4/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG00B2
IEEXG00B3,EC1_K025_TRANSITION_BAG,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,38.8873,NA,-76.5621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,Transition zone between wetland and upland,Muddy Creek,Chesapeake Bay,United States,MD,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Erika Koontz,NA,10/4/2021,10/4/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG00B3
IEEXG00B4,EC1_K025_TRANSITION_RING,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,38.8873,NA,-76.5621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Deciduous broadleaved forest,Transition zone between wetland and upland,Muddy Creek,Chesapeake Bay,United States,MD,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Erika Koontz,NA,10/4/2021,10/4/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG00B4
IEEXG00B5,EC1_K026_WATER_40ML_FILT,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,37.7106,NA,-75.6117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crops,Tidal Stream,Lang Farm Rd.,Chesapeake Bay,United States,VA,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Keryn Gedan,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG00B5
IEEXG00B6,EC1_K026_WATER_15ML_FILT,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,37.7106,NA,-75.6117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crops,Tidal Stream,Lang Farm Rd.,Chesapeake Bay,United States,VA,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Keryn Gedan,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG00B6
IEEXG00B7,EC1_K026_WATER_1L_UNFILT,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,37.7106,NA,-75.6117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crops,Tidal Stream,Lang Farm Rd.,Chesapeake Bay,United States,VA,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Keryn Gedan,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG00B7
IEEXG00B8,EC1_K026_WATER_125ML_UNFILT,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,37.7106,NA,-75.6117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crops,Tidal Stream,Lang Farm Rd.,Chesapeake Bay,United States,VA,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Keryn Gedan,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG00B8
IEEXG00B9,EC1_K026_WATER_FILTER,Individual Sample,Liquid>aqueous,NA,Surface Water,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,37.7106,NA,-75.6117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crops,Tidal Stream,Lang Farm Rd.,Chesapeake Bay,United States,VA,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Keryn Gedan,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG00B9
IEEXG00BA,EC1_K026_SEDIMENT_JAR,Individual Sample,Sediment,NA,Surface Sediment,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,37.7106,NA,-75.6117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crops,Tidal Stream,Lang Farm Rd.,Chesapeake Bay,United States,VA,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Keryn Gedan,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG00BA
IEEXG00BB,EC1_K026_SEDIMENT_BAG,Individual Sample,Sediment,NA,Surface Sediment,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,37.7106,NA,-75.6117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crops,Tidal Stream,Lang Farm Rd.,Chesapeake Bay,United States,VA,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Keryn Gedan,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG00BB
IEEXG00BC,EC1_K026_WETLAND_JAR,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,37.712,NA,-75.6102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crops,Wetland,Lang Farm Rd.,Chesapeake Bay,United States,VA,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Keryn Gedan,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG00BC
IEEXG00BD,EC1_K026_WETLAND_BAG,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,37.712,NA,-75.6102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crops,Wetland,Lang Farm Rd.,Chesapeake Bay,United States,VA,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Keryn Gedan,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG00BD
IEEXG00BE,EC1_K026_WETLAND_RING,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,37.712,NA,-75.6102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crops,Wetland,Lang Farm Rd.,Chesapeake Bay,United States,VA,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Keryn Gedan,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG00BE
IEEXG00BF,EC1_K026_UPLAND_JAR,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,37.7129,NA,-75.6085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crops,Upland,Lang Farm Rd.,Chesapeake Bay,United States,VA,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Keryn Gedan,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG00BF
IEEXG00BG,EC1_K026_UPLAND_BAG,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,37.7129,NA,-75.6085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crops,Upland,Lang Farm Rd.,Chesapeake Bay,United States,VA,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Keryn Gedan,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG00BG
IEEXG00BH,EC1_K026_UPLAND_RING,Individual Sample,Soil,NA,Surface Soil,NA,NA,NA,NA,Grab,NA,NA,NA,NA,NA,NA,NA,2021-09-01,37.7129,NA,-75.6085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crops,Upland,Lang Farm Rd.,Chesapeake Bay,United States,VA,NA,EXCHANGE Campaign 1,NA,NA,NA,NA,NA,NA,Keryn Gedan,NA,10/5/2021,10/5/2021,NA,NA,day,NA,NA,NA,NA,Stephanie Pennington,Stephanie Pennington,NA,NA,http://igsn.org/IEEXG00BH
